楼盘名称,项目别名,jd,wd
巴南大道82号,,,
巴南大道8号,曼哈顿城；曼哈顿城一区;曼哈顿城一期;曼哈顿城二区;曼哈顿城二期,,
巴南大道92号,,,
巴南大道9号,恒大城;恒大城一期；恒大城二期,,
巴南时代大厦,巴南时代大厦,,
巴山星韵,巴山星韵,,
巴蜀城北岸明珠,巴蜀城北岸明珠,,
巴蜀锦绣银街,巴蜀锦绣银街小区;巴蜀锦绣;锦绣银街,,
巴蜀路4号,巴蜀剑桥,,
巴县大道101号,海天花园;蔚蓝海天;海天花园·蔚蓝海天,,
巴县大道102号,华夏八街;华夏8街,,
巴县大道103号,斌鑫宏源花园;宏源花园;斌鑫宏源小区;斌鑫·宏源花园;宏源小区,,
巴县大道112号,兴源商住楼；兴源小区,,
巴县大道18号,巴县大道,,
巴县大道20号,巴县大道,,
巴县大道35号,绿苑大厦,,
巴县大道37号,巴县大道,,
巴县大道43号,巴县大道,,
巴县大道52号,巴县大道,,
巴县大道5号,巴县大道,,
巴县大道66号,中干道,,
巴县大道67号,巴县大道,,
巴县大道69号,中干道,,
巴县大道6号,祥弘悦城,,
巴县大道72号,中干道,,
巴县大道73号,巴县大道,,
巴县大道75号,中干道,,
巴县大道77号,东升苑,,
巴县大道7号,渝南大厦,,
巴县大道80号,巴县大道,,
巴县大道82号,巴县大道,,
巴县大道84号,巴县大道,,
巴县大道86号,巴县大道,,
巴县大道87号,巴县大道,,
巴县大道92号,巴县大道,,
巴县大道94号,巴县大道,,
巴县大道96号,巴县大道,,
巴县大道98号,乔鹤小区,,
巴县中学集资楼,巴县中学集资楼,,
芭蕉园,芭蕉园,,
白岸印象,,,
白鹤村10号,中建厂宿舍,,
白鹤林社区,,,
白鹤岭11号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭161号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭162号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭163号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭16号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭17号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭18号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭19号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭20号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭21号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭22号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭23号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭24号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭25号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭26号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭27号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭28号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭29号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭2号,大川家园,,
白鹤岭30号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭31号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭32号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭33号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭34号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭4号,和旭QQ时代;QQ时代,,
白鹤岭6号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭7号,杨公桥白鹤岭;白鹤岭小区,,
白鹤岭8号,杨公桥白鹤岭;白鹤岭小区,,
白鹤楼,白鹤楼,,
白鹤路108号,东原檀香山；檀香山,,
白鹤路110号,南城景苑,,
白鹤路130号,中冶林荫大道;林荫大道,,
白鹤路136号,东海金港湾；金港湾,,
白鹤路139号,翠堤春晓幸福里;翠堤春晓,,
白鹤路155号,弘扬华城国际;华诚国际；华城国际,,
白鹤路158号,芭厘芭厘,,
白鹤路45号,天盈首原,,
白桦路6号,万科缇香郡,,
白林路19号,隆景苑,,
白林路23号,天盈香御驿都;天盈·香御驿都;香御驿都,,
白龙大道149号,亲水湾；来新居·亲水湾,,
白龙嘉和丽景,白龙·嘉和丽景,,
白龙路23号,渝水坊二期,,
白龙路25号,渝水坊;渝水坊一期,,
白龙路2号,驿都小区,,
白龙路5号,蓝天美地;瑞侨蓝天美地,,
白龙路68号,贝迪朗晴居,,
白鹿丽苑,白鹿丽苑,,
白马凼138号,华宇时代星都,,
白马凼45号,现代苑,,
白马凼66号,税校家属区,,
白马凼小区,白马凼小区,,
白马康居花园,白马康居花园;白马花园;白马康居,,
白马小区,白马小区,,
白彭路168号,百可阳光公寓,,
白彭路2号,北京城建熙城,,
白彭路388号,骄杨理想城;骄杨·理想城,,
白彭路6号,五星国色天香,,
白彭路8号,北京城建熙城北区;北京城建熙城A区,,
白塔新苑,,,
白桃路10号,白合小区,,
白桃路2号,天鸿龙宇金座,,
白桃路5号,秋玉景苑,,
白象大厦,白象大厦,,
白象街1号,白象街小区,,
白象街27号,白象街小区,,
白象街2号,白象街小区,,
白象街31号,白象街小区,,
白象街32号,白象街小区,,
白象街3号,白象街小区,,
白象街43号,白象街小区,,
白象街47号,白象街小区,,
白象街4号,白象街小区,,
白象街5号,白象街小区,,
白象街65号,白象街小区,,
白象街67号,白象街小区,,
白象街6号,白象街小区,,
白象街82号,白象街小区,,
白象居,白象居,,
白欣路28号,阳光金城,,
白欣路29号,渝川世纪园,,
白欣路30号,荷塘月色,,
白欣路32号,志龙白市苑,,
白苑居,白苑居,,
白云大道200号,桓大东方国际,,
白云美镇,白云美镇;金树·白云美镇,,
百安花园,百安花园,,
百城康居,百城康居,,
百可山水苑,百可山水苑,,
百灵路1号,华瓯新界;金易E世界,,
百灵路2号,龙湖大城小院;大城小院,,
百年佳苑,百年佳苑,,
百年世家,百年世家;凤凰村,,
柏华街25号,恒通御景天都；御景天都,,
柏林路4号,柏林春江,,
斑竹村小区,斑竹村小区,,
斑竹林,斑竹林,,
斑竹巷,斑竹巷,,
搬运东村10号,,,
搬运东村117号,,,
搬运东村11号,,,
搬运东村12号,,,
搬运东村13号,,,
搬运东村14号,,,
搬运西村158号,搬运西村158号,,
半岛明珠,半岛明珠,,
半山公寓,半山公寓,,
半山国际名都,半山国际名都,,
半山华府,半山华府,,
半山七号,半山七号;半山七号一期,,
半山一村,,,
半山壹号,半山壹号,,
半月楼,半月楼,,
邦兴佳苑,邦兴佳苑,,
宝环路3号,隆鑫鸿府;隆鑫·鸿府;隆鑫·鸿府一期;隆鑫·鸿府二期,,
宝圣大道1022号,云湖花园,,
宝圣大道139号,天高鸿苑,,
宝圣大道21号,清河尚居,,
宝圣大道23号,渝北铂金时代;铂金时代(渝北),,
宝圣大道348号,湖山花园,,
宝圣大道466号,万科朗润园;朗润园,,
宝圣大道537号,云湖景苑,,
宝圣大道551号,学府佳园,,
宝圣大道571号,家合苑,,
宝圣大道599号,金鹏两江时光;两江时光,,
宝圣大道666号,万科渝园,,
宝圣大道902号,巴山夜雨,,
宝圣大道950号,番茄花园；龙德番茄花园,,
宝圣大道99号,在水一方;在水一方栖湖,,
宝圣东路299号,蓝色星空狮子座,,
宝圣东路88号,城北蓝色星空二期,,
宝圣东路小区,,,
宝圣湖别墅,,,
宝圣路80号,蓝色星空;蓝色星空金牛座,,
宝圣西路115号,海德花园,,
宝圣西路229号,海德小区,,
宝圣西路288号,万福佳苑,,
宝圣西路330号,聚祥居,,
宝圣西路380号,政委花园;政委集资楼,,
宝圣西路385号,东朝静园;渝北东朝静苑;东朝静苑,,
宝圣西路416号,宝圣西路416号,,
宝圣西路446号,宏泰苑,,
宝圣西路472号,林正橙堡;林正·远景;林正远景,,
宝圣支路89号,龙德悠彩郡;龙德·悠彩郡;悠彩郡,,
宝石路14号,枫桥水郡,,
宝石路1号,东原香山,,
宝石支路7号,华府春城;尚地华府春城,,
宝桐路101号,翠湖柳岸,,
宝桐路116号,宝桐路小区;圣园平伟商业步行街,,
宝桐路166号,曹明美集资楼,,
宝桐路172号,齐芳苑,,
宝桐路177号,凯圣佳园,,
宝桐路196号,宝桐路小区,,
宝桐路1号,圣湖天域;盛湖天域;圣湖天域二期,,
宝桐路201号,怡和佳苑;怡和佳园,,
宝桐路228号,宝桐花园,,
宝桐路2号,旭辉朗香郡（1期）；旭辉朗香郡；旭辉新里城；旭辉朗香郡二期；旭辉朗香郡臻园,,
宝桐路30号,堤岸春晓,,
宝桐路72号,东方紫竹苑,,
宝桐路9号,银鑫莲花半岛;银鑫·莲花半岛,,
宝桐一路555号,奔力乡间城,,
宝桐一路653号,兰亭水云涧;兰亭水云间,,
宝桐一路673号,华菲苑;华菲园;华翡苑,,
宝桐一路6号,海德盛世,,
宝桐一路9号,奔力上好家,,
宝铜路179号,小家碧玉,,
保利花半里,保利花半里二期;保利花半里一期,,
保利江上明珠,,,
保利小泉别墅,保利小泉;小泉别墅,,
北岸领秀,北岸领秀,,
北碚北京路小区,北京路小区,,
北碚电力小区,北碚电力小区集资房,,
北碚光荣村,北碚光荣村;光荣村,,
北碚吉林巷,北碚吉林巷;吉林巷,,
北碚解放北巷,,,
北碚静宁路小区,北碚静宁路小区,,
北碚辽宁路小区,北碚辽宁路小区,,
北碚南京路,,,
北碚人民路小区,,,
北碚上海路,,,
北碚上海路小区,,,
北碚胜利村,,,
北碚四联公寓,四联公寓；北碚四联公寓,,
北碚太原路小区,北碚太原路小区,,
北碚天津路,,,
北碚文星村,北碚文星村;文星村,,
北碚文星湾,,,
北碚钻石公寓,钻石公寓;海宇钻石公寓;城南钻石公寓,,
北滨二路536号,紫御江山一组团;紫御江山一期;紫御江山紫峰,,
北滨二路537号,紫御江山二组团;紫御江山二期;紫御江山二期御湾,,
北滨二路538号,紫御江山三组团;紫御江山三期;紫御江山三期熙岸,,
北滨路1285号,恒安翠湖澜郡;恒安·翠湖澜郡,,
北滨路76号,中央官邸,,
北滨太阳城1号,珠江太阳城A区,,
北滨一路288号,御龙天峰,,
北滨一路363号,江湾城国际公寓；招商江湾城,,
北滨一路528号,中海北滨华庭；中海北滨一号；北滨华庭；中海北滨1号天赋,,
北部时代名居,北部时代名居,,
北辰名都,北辰名都,,
北晨丽景,北晨丽景,,
北城二路78号,珠江国际;珠江太阳城B区,,
北城好望角,,,
北城佳苑,北城佳苑,,
北城丽景128号,北城丽景,,
北城路76号,珠江太阳城D区;珠江太阳城捌零公馆;捌零公馆;珠江太阳城中央公馆,,
北城路78号,珠江太阳城C区;珠江太阳城捌零公馆;捌零公馆;珠江太阳城中央公馆,,
北城栖院,北城栖苑;北城西苑;北城栖院,,
北城三路1号,五江花园,,
北城三路2号,工商局综合楼,,
北城商住楼,北城商住楼,,
北城天街15号,富力海洋广场,,
北城天街33号,东和城;东和花园,,
北城天街46号,九街高屋,,
北城天街4号,北岸星座,,
北城天街9号,海怡花园;海逸花园,,
北城天街小区,,,
北城新贵,,,
北城一路32号,中冶重庆早晨,,
北城优筑,,,
北大街小区,,,
北大资源博雅,北大资源·博雅;北大资源·博雅一期;北大资源·博雅二期,,
北斗路小区,,,
北斗支路7号,北斗家园,,
北固门,,,
北湖路小区,渝北两路北湖路小区,,
北湖支路小区,北湖支路小区,,
北环路143号,龙庭盛世,,
北环路90号,博赛豪庭,,
北欧花园别墅,,,
北欧乡村别墅,,,
北培中山路交易所楼,,,
北区路,,,
北区路51号,巴蜀大厦；巴蜀俊秀,,
北区路55号,盛世嘉园,,
北泉路150号,华福花园,,
北泉路158号,丽锦花园,,
北泉路257号,泰盛花园;泰胜花园,,
北泉路309号,云山花园,,
北泉路45号,桥头大厦,,
北泉路501号,北泉路501号,,
北泉路84号,麗锦雅舍;丽景雅舍;丽锦雅舍,,
北泉路小区,北泉路街道集资小区;北泉路小区;团山堡,,
北塔坪120号,巴黎公舍；巴黎公社,,
北团山一路1号,春光雅苑,,
贝迪家私城,贝迪家私城,,
贝迪龙庭,贝迪龙庭;贝迪龙庭2期,,
碚南大道12号,江北中学集资,,
碚南大道196号,红雨花园,,
碚南大道235号,金福花园,,
碚南大道2号,静宁家园,,
碚南大道359号,澜桥圣菲;湖岸雅筑澜桥圣菲;湖岸雅筑,,
碚南大道5号,双柏花园,,
碚峡东路11号,碚峡东路小区,,
碚峡东路12号,碚峡东路小区,,
碚峡东路58号,缙云花园,,
碚峡路126号,竟发花园；竞发花园；北碚竞发花园,,
碚峡路202号,碚峡路202号,,
碚峡路204号,碚峡路204号,,
碚峡路24号,北碚卢沟桥;卢沟桥小区,,
碚峡路345号,公交富民小区；富民小区,,
碚峡路55号,四联悦苑;四联·悦苑,,
碚峡路62号,碚峡路62号,,
碚峡路小区,,,
碚峡西路2号,陵江时代;时代景园;时代景苑;陵江时代景园;陵江时代景苑,,
碚峡西路5号,荷花池小区,,
碚峡西路小区,碚峡西路小区,,
碚峡巷73号,碚峡巷小区,,
必茂小区,必茂小区一区;必茂小区二区,,
碧景园,碧景园,,
碧水龙泉,,,
碧祥路3号,碧水云天,,
壁青北路689号,绿城上岛,,
壁青北路778号,宏康浩宇,,
璧青北路169号,天佑山水国际;天佑山水,,
璧青北路457号,康乐苑,,
璧青北路543号,祥和小区,,
璧青北路792号,渝康花园,,
璧山花市街小区,,,
璧山时代雅苑,,,
璧铜路65号,远林名苑,,
斌鑫大厦,汉渝路斌鑫大厦,,
斌鑫西城绿锦,斌鑫榕尚居;斌鑫西城绿锦,,
斌鑫中央国际公园,斌鑫中央国际公园;斌鑫逸城时光,,
滨港路39号,山水绿城,,
滨河大道7号,梦里水乡,,
滨河西路95号,皓宏阳光水岸,,
滨江大道二段186号,君临半山;君临半山二期,,
滨江大道二段48号,滨江国际花园,,
滨江大道二段88号,涪陵金科廊桥水岸,,
滨江大道二段8号,鼎盛时代,,
滨江丽景豪庭,滨江丽景;丽景豪庭,,
滨江路132号,华庭锦园;华庭锦源,,
滨江路219号,里面,,
滨江路2号,嘉悦江庭;嘉悦江庭一期;嘉悦江庭二期,,
滨江路小区,,,
滨江一号,,,
滨江怡苑,,,
滨江竹苑,滨江竹园,,
博文二路99号,融汇半岛九期,,
博盈学府,,,
步行街256号,庆隆花园,,
步阳小区,,,
材料所家属楼,材料所家属楼,,
财富大厦,财富大厦,,
财富中心,财富中心国际公寓;财富中心A座,,
财信小区,财信小区,,
财政局宿舍,,,
彩瑞苑,彩瑞苑,,
彩云大道8号,金茂悦;盘龙金茂悦;盘龙金茂悦一期,,
菜家石堡小区,,,
菜市街150-160号,菜市街小区,,
菜袁路168号,江湾国际花都;旭庆江湾国际花都;中庚香江美地;江屿朗廷,,
菜袁路196号,民新花园,,
菜袁路205号,世纪花城,,
菜袁路209号,新东福花园,,
菜袁路248号,,,
菜袁路26号,东泰城市派,,
菜袁路27号,世贸采博城,,
菜袁路小区,,,
蔡家石堡18号,蔡家石堡,,
蔡家石堡20号,蔡家石堡,,
蔡家石堡22号,蔡家石堡,,
蔡家石堡23号,蔡家石堡,,
蔡通路508号,中庚城,,
残联集资房,,,
沧白路17号,沧白大厦,,
沧白路38号,沧白路小区,,
沧白路46号,南国丽景,,
沧白路67号,沧白路小区,,
苍白路大厦,苍白路大厦,,
茶亭北路71号,,,
茶亭北路9号,,,
茶亭南路22号,重医茶亭小区,,
茶亭南路3号,茶亭小区,,
茶亭南路小区,茶亭小区,,
茶叶集团集资房,,,
茶园长安村,,,
茶园新区机关单位小区,,,
茶园新区上景新城,,,
昌州大道666号,润锦御珑山；御龙山,,
昌州大道6号,山水林涧,,
昌州大道888号,宇界维诗卡;永川宇界维诗卡,,
昌州大道东段899号,恒大翡翠华庭,,
长安村144号,长安家属区,,
长安丽都,长安郦都;长安丽都,,
长安丽锦苑,长安丽锦苑;丽锦苑,,
长安梅园,,,
长滨路118号,江枫雅筑,,
长滨路129号,富华大厦,,
长滨路136号,大唐诺亚;大唐·诺亚;大唐国际外事公寓,,
长滨路153号,凯瑞大厦；恺瑞大厦;君悦长滨；恺瑞酒店公寓,,
长滨路58号,东水门,,
长城路,,,
长大路1号,半山公馆;半山公馆二期;半山公馆一期;盾安半山公馆,,
长岛汇,,,
长风路338号,华贵沁园春;沁园春,,
长福路299号,小小岛,,
长航小区,长航小区,,
长河湾,,,
长江村103号,长江村;长江村电工厂集资房,,
长江村110号,智汇江南,,
长江村15号,芭蕉湾,,
长江大厦161号,长江大厦161号,,
长江大厦169号,长江大厦169号,,
长江二路,,,
长江二路101号,荆警大队家属院,,
长江二路107号,大坪新城大厦,,
长江二路10号,肖家湾拓展大厦,,
长江二路121号,现代大厦,,
长江二路12号,创景大厦,,
长江二路177号,长江二路177号；骄阳天际；煤田宾馆,,
长江二路183号,俊豪时代,,
长江二路33号,和泓江山国际,,
长江二路36号,长江二路36号,,
长江二路39号,兰波红城丽景;红城丽景,,
长江二路3号,长城锦泰利园;长城锦泰丽园,,
长江二路40号,长江二路40号,,
长江二路4号,长江二路4号,,
长江二路77号,万友康年国际公寓;万友康年,,
长江二路86号,爱华龙都,,
长江国际住宅,长江国际住宅,,
长江路2号,大坪新城大厦,,
长江路51号,凤凰台,,
长江首袭,,,
长江一路14号,长江一路小区,,
长江一路15号,长江一路小区,,
长江一路16号,长江一路小区,,
长江一路30号,广璐大厦,,
长江一路51号,长江一路改造工程;凤凰台,,
长江一路52号,钱塘玫瑰湾;钱塘.玫瑰湾;钱塘.玫瑰湾B区;钱塘玫瑰湾C区,,
长江一路58号,鹰冠小区,,
长江一路60号,铂金时代,,
长江一路77号,嘉瑞江山公寓;江山公寓,,
长江一路78号,e动力广场,,
长江支路,,,
长江支路25号,昆腾东方巴塞;轻轨上城;东方巴塞,,
长江支路26号,都市春天,,
长江支路小区,,,
长空路199号,金色阳光,,
长空路299号,浩博天地,,
长坡村5.6社,兰亭雅舍,,
长青路88号,尚城名都;普惠尚城名都,,
长生路10号,长生路小区,,
长生路12号,长生路小区,,
长生路16号,长生路小区,,
长生路86号,长盛花园,,
长生路88号,茶园新区世纪花园；世纪花园,,
长生桥小区,长生桥小区,,
长生桥镇河街13号,康家花园;康佳花园,,
长生雅苑,长生雅苑,,
长生一支路13号,浅山云景,,
长生镇河街31号,滨河苑,,
长生镇石桥铺街3号,东升彼岸,,
长石村,,,
长石苑,长石苑,,
长寿邓家巷,,,
长寿凤岭街小区,,,
长寿骑鞍,,,
长寿山水国际,渤能山水国际；晏家山水国际,,
长寿校园路小区,,,
长翔路16号,翔锦花园,,
长翔路71号,阳光名城,,
长橡家园,长橡家园,,
长新路1号,富邦金玖,,
长新路20号,北岸世家,,
长征二村,,,
长征一村,,,
常青藤人文别墅,,,
畅想路99号,香林府邸,,
朝东路66号,银星商城,,
朝华新城,,,
朝千路38号,东和湾;东河湾,,
朝千路小区,朝千路小区,,
朝田村101号,汽车研究所,,
朝田村200号,绅帝大厦,,
朝田村218号,帝豪名都,,
朝香苑,,,
朝阳村1号,春风与湖一期;春风与湖,,
朝阳花园,朝阳花园,,
朝阳路102号,恒高月光宝盒;西城首座,,
朝阳路106号,同心家园;同心家园二期;同心家园一期；渝高·同心家园;渝高同心家园,,
朝阳路116号,永缘寓乐圈;永缘·寓乐圈,,
朝阳路195号,斌鑫鼎航雅座,,
朝阳路3号,紫薇北苑;渝高紫薇北苑,,
朝阳路小区,北碚朝阳路,,
朝阳山76号,美林公寓,,
朝阳之家,朝阳之家,,
朝野水晶城,水晶城,,
车城明珠,,,
辰锦佳苑,,,
陈丰路88号,国盛绣美丰文;国盛.秀美丰文,,
陈庚路666号,绿岛映像二期,,
陈家坪84号,建工太阳公馆,,
陈家坪车站,,,
陈家坡小区,,,
陈家桥桥东路2号,嘉和康桥A区;嘉和康桥B区;嘉和康桥,,
陈庹路666号,晋愉绿岛;晋愉映像;晋愉绿岛岭海;晋愉绿岛云间;晋愉绿岛翡冷翠,,
晨光华府,,,
晨光小区,,,
晨熙花园,,,
成盛雅苑,,,
诚投天邻水岸,诚投天邻水岸,,
城北大厦（北碚）,城北大厦,,
城北农贸市场小区,城北农贸市场小区,,
城北燃气花园,城北燃气花园,,
城建校家属院,,,
城南公安集资房,城南公安集资房,,
城南市场,,,
城南旺族,,,
城南未来,城南未来北苑；城南未来南苑;城南未来二期,,
城南小区,,,
城市广场,城市广场,,
城市间,,,
城市街坊,广胜城市街坊,,
城市日记,渝高城市日记,,
城市星都,,,
城市印象绿湾相国苑,城市印象;城市印象绿湾相国苑,,
城投花园,,,
城西六路450号,隆鑫玫瑰湾,,
程家大院,,,
澄兴路135号,,,
澄兴路137号,,,
澄兴路139号,,,
澄兴路143号,,,
澄兴路149号,,,
澄兴路233号,,,
驰华狮王华府,,,
崇文路109号,崇文小区;崇文小区二期;崇文小区一期,,
崇文路13号,中商丽景；丽景苑,,
崇文路148号,南山金沃山庄,,
崇文路1号,黄桷小区,,
崇文路28号,高山流水;高山流水E区;高山流水二期,,
崇文路29号,南岭雅舍,,
崇文路31号,圣马寻常人家,,
崇文路35号,海昌加勒比印象；海昌清水溪;海昌加勒比,,
川城商住楼,,,
川煤九处,,,
川仪六厂家属区,,,
川主沟25号,昌州城市花园,,
创景2000,创景2000,,
创新村,创新村,,
创新大道10号,同天依云郡,,
创新大道11号,协信天骄城；天骄城,,
创新大道1号,恒基翠庭,,
创业街小区,,,
春风绿苑,春风绿园,,
春和景明,,,
春晖花园,春晖花园,,
春晖路10号,铂金云鼎,,
春晖路16号,枫丹筱筑水云居;枫丹水云居;水云居,,
春晖路18号,半山居;枫丹筱筑;枫丹筱筑一期;枫丹筱筑半山居,,
春晖路58号,园丁小区,,
春晖路62号,翠华园,,
春晖路68号,佳禾钰茂豪俊阁;豪俊阁,,
春晖路69号,松华阁,,
春晖路70号,春晖路70号；旅游学校家属区,,
春晖路81号,逸馨苑,,
春晖路85号,春晖御庭,,
春晖路88,秋实小区,,
春晖路88号,秋实华庭紫苑;华庭紫苑,,
春晖路96号,渝港花园,,
春晖南路8号,蓝馨园;兰馨苑,,
春江名都,春江名都,,
春森路1号,春森路小区,,
春森路2号,春森路小区,,
春森路3号,春森路小区;春森路,,
春森路4号,春森路小区,,
春森路6号,养花溪大厦,,
春天花园,春天花园,,
纯阳洞1号,纯阳洞小区,,
纯阳金沙水岸,金沙水岸,,
慈竹路1号,大竹林慈竹苑;慈竹苑;大竹林水竹苑;水竹苑,,
磁建村88号,国盛三千城,,
磁器口南街,磁器口南街,,
翠柏路100号,柏华教师楼,,
翠柏路31号,锦天国际,,
翠柏路37号,秋实大厦,,
翠柏路78号,天使花园,,
翠柏路88号,翠柏小区,,
翠柏路96号,锦天康都,,
翠柏路98号,秋实春华,,
翠柏路99号,秋实景苑;大渡口秋实景苑,,
翠海朗园,中凯翠海朗园,,
翠湖路196号,听湖花园,,
翠湖路200号,翠湖路小区,,
翠湖路267号,翠湖路小区,,
翠湖路298号,翠湖路小区,,
翠湖路346号,翠湖路346号,,
翠湖路53号,翠湖园,,
翠湖路66号,华都湖滨园;华都湖滨苑,,
翠湖路9号,翠湖雅居,,
翠湖路二巷47号,翠湖路二巷小区,,
翠湖路五巷24号,翠湖路五巷24号,,
翠湖苑,翠湖苑,,
翠湖支路126号,富丽园;富丽苑,,
翠莲路11号,翠云花朝小区;花朝小区,,
翠苹路11号,东衡槟城,,
翠屏三巷2号,金山美林,,
翠渝路39号,建工悦城;建工·悦城,,
翠渝路55号,美利山;美利山公园城市;首钢美利山,,
翠园村小区,翠园路,,
翠园路109号,铺金郦城;铺金丽城;铺金丽城巴洛克公寓,,
翠园路111号,翠湖龙庭,,
达飞玖隆城,达飞玖隆城,,
达飞绿洲,达飞苑;达飞绿洲,,
达美城市花园,达美城市花园;达美城市花园A栋（达美花苑）;达美城市花园B栋;达美城市花园C栋;达美城市花园D栋;达美城市花园E栋,,
打铜街6号,金禾丽都,,
大城小爱,南方东银大城小爱,,
大川滨水城,大川滨水城,,
大川菲尔小城,大川水岸菲尔小城;大川菲尔小城,,
大川国际,大川国际,,
大川国际水岸,,,
大川水岸小区,大川水岸三期;大川水岸,,
大地兴城,大地兴城,,
大鼎湖滨丽景,,,
大渡口金色家园,大渡口金色家园;金色家园;金色佳园,,
大公村,大公村,,
大河沟109号,大河沟小区,,
大黄路120号,二航居小区,,
大黄路128号,喜业花园,,
大黄路168号,星月湾,,
大黄路28号,大黄路公务员小区;公务员小区（大黄路）;大坪机关单位小区,,
大黄路34号,交警花园；交巡警小区,,
大黄路47号,大坪公务员小区；吉安苑大坪小区；吉安园大坪小区;吉安苑,,
大黄路60号,半岛深蓝;大黄路60号,,
大黄路6号,竟地花园;竞地城市;竞地城市花园;竞地城市花园一期,,
大黄路78号,渝中名郡;渝中新都;奥园名郡,,
大黄路小区,,,
大江厂家属区,大江厂家属区,,
大江广场南城新街,,,
大江广场小区,,,
大江黑格,黑格二期;大江黑格,,
大江南街4111号,黄溪街62-68号,,
大江南区,大江南区,,
大江一组团,大江一组团,,
大江竹苑,大江竹苑,,
大井巷,大井巷,,
大陆村49号,北陆新居,,
大路村45号,阳光新干线,,
大路村96号,雪屿佳园;雪屿佳苑,,
大路村小区,大路村小区,,
大南门,,,
大坪SOHO,大坪SOHO,,
大坪兵工局小区,大坪兵工局小区;兵工局家属楼,,
